Thu Oct 15 10:49:51 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d3-GSPE3Y7DVLSN clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@793a1d52
Thu Oct 15 10:53:32 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d1-FSLDGTVFK2RF clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@72073860
Thu Oct 15 10:55:31 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d2-QBOD583TXB9J clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@2019ebb
Thu Oct 15 10:56:15 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d3-9HHXS2GQSB35 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@1ea8ca04
Thu Oct 15 10:56:48 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d3-9HHXS2GQSB35 clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@a78e429
Thu Oct 15 10:57:54 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d4-0KHOLYU0VRV2 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@5691463
Thu Oct 15 10:58:25 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d4-0KHOLYU0VRV2 clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@3c1a14e0
Thu Oct 15 10:58:50 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d4-0KHOLYU0VRV2 clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@254c747e
Thu Oct 15 11:01:14 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d5-VV63MLYRI78X clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@68224c1c
Thu Oct 15 11:01:19 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d5-VV63MLYRI78X clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@1970290e
Thu Oct 15 11:01:26 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d5-VV63MLYRI78X clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@3f97d3da
Thu Oct 15 11:04:38 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d6-SIVYPFE7GWX0 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@5f165b0c
Thu Oct 15 11:04:42 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d6-SIVYPFE7GWX0 clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@497dbf09
Thu Oct 15 11:04:51 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d6-SIVYPFE7GWX0 clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@428d75f3
Thu Oct 15 11:04:54 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d6-SIVYPFE7GWX0 clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@5ae23b0e
Thu Oct 15 11:05:04 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d7-CC9FGE5DZOL9 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@312752d9
Thu Oct 15 11:05:08 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d7-CC9FGE5DZOL9 clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@47e3718b
Thu Oct 15 11:05:20 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d7-CC9FGE5DZOL9 clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@7b72c41b
Thu Oct 15 11:05:29 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d7-CC9FGE5DZOL9 clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@1f3ac0c4
